ngram,tfidf,n,type
انتقال وجه,42.9676,2,bigram
مدیریت حساب,31.7151,2,bigram
احراز هویت,31.3257,2,bigram
همراه بانک,22.7341,2,bigram
شارژ حساب,22.2033,2,bigram
حساب صفحه,19.75,2,bigram
نظر کاربر,18.9061,2,bigram
سایر کارت,18.7327,2,bigram
براساس نظر,18.7186,2,bigram
انتخابی براساس,18.5924,2,bigram
پر کاربرد,18.5924,2,bigram
چیدمان حساب,18.5924,2,bigram
کلیک خودداری,18.5924,2,bigram
حساب چیدمان,18.5924,2,bigram
حساب انتخابی,18.5924,2,bigram
سرعت افزایش,18.5924,2,bigram
صفحه کلیک,18.5924,2,bigram
صفحه ورودی,18.5924,2,bigram
خودداری سرعت,18.5924,2,bigram
تمرین حساب,18.5924,2,bigram
کاربرد تمرین,18.5924,2,bigram
کاربر پر,18.5924,2,bigram
ورودی مدیریت,18.5924,2,bigram
خرید اینترنتی,16.2044,2,bigram
شماره حساب,15.838,2,bigram
کارت کارت,14.6428,2,bigram
شماره کارت,14.5632,2,bigram
دستیار هوشمند,14.1651,2,bigram
بلو بانک,13.4178,2,bigram
حساب کارت,13.4089,2,bigram
براساس نظر کاربر,19.8591,3,trigram
انتخابی براساس نظر,18.9214,3,trigram
حساب انتخابی براساس,18.9214,3,trigram
حساب صفحه کلیک,18.9214,3,trigram
تمرین حساب صفحه,18.9214,3,trigram
حساب چیدمان حساب,18.9214,3,trigram
نظر کاربر پر,18.9214,3,trigram
چیدمان حساب انتخابی,18.9214,3,trigram
کلیک خودداری سرعت,18.9214,3,trigram
کاربرد تمرین حساب,18.9214,3,trigram
صفحه ورودی مدیریت,18.9214,3,trigram
کاربر پر کاربرد,18.9214,3,trigram
پر کاربرد تمرین,18.9214,3,trigram
ورودی مدیریت حساب,18.9214,3,trigram
مدیریت حساب چیدمان,18.9214,3,trigram
صفحه کلیک خودداری,18.9214,3,trigram
خودداری سرعت افزایش,18.9214,3,trigram
حساب طریق سایر,12.5678,3,trigram
طریق سایر کارت,12.5678,3,trigram
امکان شارژ حساب,12.3432,3,trigram
همانند بلو بانک,12.3432,3,trigram
شارژ حساب طریق,11.9226,3,trigram
سازوکار خرید اینترنتی,11.4035,3,trigram
سایر کارت بانک,11.4035,3,trigram
بانک سازوکار خرید,11.4035,3,trigram
اینترنتی همانند بلو,11.4035,3,trigram
بلو بانک فراهم,11.4035,3,trigram
خرید اینترنتی همانند,11.4035,3,trigram
بانک فراهم باتشکر,11.4035,3,trigram
کارت بانک سازوکار,11.4035,3,trigram
